province,cityname,record_date,high,low,weather,wd,ws
上海,上海,2023-4-1,21,10,多云~晴,东风,2
上海,上海,2023-4-2,23,12,晴,西北风,1
上海,上海,2023-4-3,21,15,多云~小雨,北风,1
上海,上海,2023-4-4,20,13,多云~小雨,东南风,1
上海,上海,2023-4-5,17,10,多云,西北风,2
上海,上海,2023-4-6,13,10,小雨~多云,西北风,2
上海,上海,2023-4-7,17,8,多云,东北风,2
上海,上海,2023-4-8,19,10,晴,东风,1
上海,上海,2023-4-9,20,12,晴,西北风,1
上海,上海,2023-4-10,26,17,多云,西风,1
上海,上海,2023-4-11,24,13,多云,北风,1
上海,上海,2023-4-12,20,13,多云,北风,1
上海,上海,2023-4-13,25,14,阴,西北风,1
上海,上海,2023-4-14,23,16,多云,北风,3
上海,上海,2023-4-15,22,15,多云,西南风,3
上海,上海,2023-4-16,25,13,晴,北风,1
上海,上海,2023-4-17,25,14,晴,南风,3
上海,上海,2023-4-18,31,19,多云,东风,1
上海,上海,2023-4-19,26,14,晴,北风,3
上海,上海,2023-4-20,22,16,多云,北风,1
上海,上海,2023-4-21,20,12,多云,北风,3
上海,上海,2023-4-22,21,10,多云,东风,2
上海,上海,2023-4-23,17,14,小雨,北风,1
上海,上海,2023-3-1,16,6,多云,东北风,1
上海,上海,2023-3-2,13,4,多云~晴,东风,2
上海,上海,2023-3-3,13,6,多云,北风,1
上海,上海,2023-3-4,18,7,晴,东南风,2
上海,上海,2023-3-5,18,9,晴,东南风,2
上海,上海,2023-3-6,23,10,晴~多云,西北风,1
上海,上海,2023-3-7,23,12,多云,南风,3
上海,上海,2023-3-8,24,14,多云,北风,2
上海,上海,2023-3-9,25,13,多云~晴,东北风,1
上海,上海,2023-3-10,27,13,晴~多云,东南风,1
上海,上海,2023-3-11,22,10,多云~小雨,北风,1
上海,上海,2023-3-12,12,5,小雨~多云,南风,1
上海,上海,2023-3-13,14,7,多云~晴,东北风,1
上海,上海,2023-3-14,20,11,晴,东南风,3
上海,上海,2023-3-15,23,9,多云,东北风,3
上海,上海,2023-3-16,15,8,多云~小雨,东北风,1
上海,上海,2023-3-17,9,7,大雨~多云,北风,1
上海,上海,2023-3-18,11,7,多云,北风,1
上海,上海,2023-3-19,13,10,多云~小雨,北风,1
上海,上海,2023-3-20,14,12,多云~中雨,东南风,2
上海,上海,2023-3-21,15,13,小雨,东风,1
上海,上海,2023-3-22,17,11,小雨,北风,2
上海,上海,2023-3-23,13,9,小雨,北风,1
上海,上海,2023-3-24,11,7,小雨~阴,东北风,1
上海,上海,2023-3-25,10,7,多云~阴,东风,1
上海,上海,2023-3-26,16,7,多云~晴,东南风,1
上海,上海,2023-3-27,18,7,多云~晴,东南风,2
上海,上海,2023-3-28,20,10,多云,北风,1
上海,上海,2023-3-29,16,11,多云~小雨,北风,2
上海,上海,2023-3-30,14,11,小雨~阴,东北风,2
上海,上海,2023-3-31,18,11,多云~阴,东风,2
上海,上海,2023-2-1,13,3,晴,东南风,1
上海,上海,2023-2-2,6,4,多云,西南风,1
上海,上海,2023-2-3,8,2,多云,东风,1
上海,上海,2023-2-4,9,5,多云,东风,3
上海,上海,2023-2-5,10,8,多云,东风,1
上海,上海,2023-2-6,10,7,小雨,北风,1
上海,上海,2023-2-7,12,6,多云,东北风,2
上海,上海,2023-2-8,10,7,多云,东风,1
上海,上海,2023-2-9,9,6,中雨,西北风,2
上海,上海,2023-2-10,8,6,多云,东风,2
上海,上海,2023-2-11,10,8,小雨,东北风,1
上海,上海,2023-2-12,14,6,小雨,北风,3
上海,上海,2023-2-13,7,3,小雨,北风,1
上海,上海,2023-2-14,7,2,多云,北风,2
上海,上海,2023-2-15,9,2,晴,东北风,2
上海,上海,2023-2-16,11,6,晴,东北风,1
上海,上海,2023-2-17,11,10,多云,东风,1
上海,上海,2023-2-18,21,8,多云,西北风,2
上海,上海,2023-2-19,11,3,多云,北风,1
上海,上海,2023-2-20,12,4,晴,东北风,2
上海,上海,2023-2-21,7,4,多云,东北风,2
上海,上海,2023-2-22,8,5,多云,西南风,1
上海,上海,2023-2-23,7,4,多云,东北风,2
上海,上海,2023-2-24,10,4,多云,北风,2
上海,上海,2023-2-25,9,2,晴,东北风,2
上海,上海,2023-2-26,10,3,晴,东北风,2
